
=== Page 0 ===
  Rect(185.2, 675.1, 226.2, 695.2) W=41.1 H=20.1 fill=(0.0, 0.0, 0.0) color=None
  Rect(324.6, 677.4, 369.5, 696.8) W=44.9 H=19.4 fill=(0.0, 0.0, 0.0) color=None
  Rect(459.4, 679.7, 509.0, 693.7) W=49.6 H=14.0 fill=(0.0, 0.0, 0.0) color=None
  Rect(121.6, 794.1, 198.3, 822.0) W=76.7 H=27.9 fill=(0.0, 0.0, 0.0) color=None

=== Page 3 ===
  Rect(28.6, 28.6, 566.3, 166.6) W=537.6 H=138.0 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 28.6, 566.3, 50.3) W=537.6 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 172.4, 566.7, 194.1) W=538.0 H=21.6 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 172.4, 566.7, 194.1) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 199.9, 566.7, 219.3) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 241.0, 566.7, 280.2) W=538.0 H=39.2 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 305.8, 566.3, 380.3) W=537.7 H=74.5 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 385.9, 566.7, 524.0) W=538.0 H=138.0 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 385.9, 566.7, 407.6) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 529.8, 566.7, 549.2) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 554.9, 566.7, 605.8) W=538.0 H=50.9 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 554.9, 566.7, 576.6) W=538.0 H=21.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 611.6, 566.7, 631.0) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.5, 636.3, 566.4, 708.0) W=537.9 H=71.6 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.5, 636.3, 566.4, 651.9) W=537.9 H=15.6 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 712.6, 566.7, 732.0) W=538.0 H=19.4 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 737.8, 566.7, 759.5) W=538.0 H=21.6 fill=(1.0, 1.0, 1.0) color=None
